Unnamed: 0,ref,inst,frag,lang,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
730,P522604.20.2,dēnīšu[lawsuit]N,de-ni-šu₂,,,N,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,de-ni-šu₂,"['complete', 'complete', 'complete']",0.0,dēnīšu,dīnu,lawsuit,P522604,20,2,penalties for litigation: penalty
731,P522604.20.3,idabbubma[litigate]V,DUG₄.DUG₄-ma,,,V,"['𒅗', '𒅗', '𒈠']",𒅗𒅗𒈠,DUG₄.DUG₄-ma,"['complete', 'complete', 'complete']",0.0,idabbubma,dabābu,litigate,P522604,20,3,penalties for litigation: penalty
732,P522604.21.1,lā[not]MOD,la,,,MOD,['𒆷'],𒆷,la,['complete'],0.0,lā,lā,not,P522604,21,1,penalties for litigation: penalty
733,P522604.21.2,ilaqqi[succeed]V,i-laq-qi₂,,,V,"['𒄿', '𒋃', '𒆠']",𒄿𒋃𒆠,i-laq-qi₂,"['complete', 'complete', 'complete']",0.0,ilaqqi,leqû,succeed,P522604,21,2,penalties for litigation: penalty
734,P522604.23.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,23,1,witness
735,P522604.23.2,+Idri[]PN$,{m}id-ri-i,,PN,PN,"['𒁹', '𒀉', '𒊑', '𒄿']",𒁹𒀉𒊑𒄿,{m}id-ri-i,"['complete', 'complete', 'complete', 'complete']",0.0,Idri,Idri,1,P522604,23,2,witness
736,P522604.24.1,mār[son]N,A,,,N,['𒀀'],𒀀,A,['complete'],0.0,mār,māru,son,P522604,24,1,witness
737,P522604.24.2,+Hamataya[]PN$,{m}ha-ma-ta-a,,PN,PN,"['𒁹', '𒄩', '𒈠', '𒋫', '𒀀']",𒁹𒄩𒈠𒋫𒀀,{m}ha-ma-ta-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Hamataya,Hamataya,1,P522604,24,2,witness
738,P522604.25.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,25,1,witness
739,P522604.25.2,+Sime-šarru[]PN$,{m}si-me-MAN,,PN,PN,"['𒁹', '𒋛', '𒈨', '𒌋𒌋']",𒁹𒋛𒈨𒌋𒌋,{m}si-me-MAN,"['complete', 'complete', 'complete', 'complete']",0.0,Sime-šarru,Sime-šarru,1,P522604,25,2,witness
740,P522604.25.3,masennu[treasurer]N,{lu₂}AGRIG,,,N,"['𒇽', '𒅆𒁾']",𒇽𒅆𒁾,{LU₂}AGRIG,"['complete', 'complete']",0.0,masennu,mašennu,treasurer,P522604,25,3,witness
741,P522604.26.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,26,1,witness
742,P522604.26.2,+Aya-amme[]PN$,{m}a-a-am-me,,PN,PN,"['𒁹', '𒀀', '𒀀', '𒄠', '𒈨']",𒁹𒀀𒀀𒄠𒈨,{m}a-a-am-me,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Aya-amme,Aya-amme,1,P522604,26,2,witness
743,P522604.27.1,mār[son]N,DUMU,,,N,['𒌉'],𒌉,DUMU,['complete'],0.0,mār,māru,son,P522604,27,1,witness
744,P522604.27.2,Tabalaya[1]PN,{m}tab-URU-a-a,,PN,PN,"['𒁹', '𒋰', '𒌷', '𒀀', '𒀀']",𒁹𒋰𒌷𒀀𒀀,{m}tab-URU-a-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Tabalaya,Tabalayu,1,P522604,27,2,witness
745,P522604.28.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,28,1,witness
746,P522604.28.2,+Adad-nadin-apli[]PN$,{m}10-AŠ-A,,PN,PN,"['𒁹', '𒌋', '𒀸', '𒀀']",𒁹𒌋𒀸𒀀,{m}[10]-AŠ-A,"['complete', 'missing', 'complete', 'complete']",0.25,Adad-nadin-apli,Adad-nadin-apli,1,P522604,28,2,witness
747,P522604.29.1,mār[son]N,DUMU,,,N,['𒌉'],𒌉,DUMU,['complete'],0.0,mār,māru,son,P522604,29,1,witness
748,P522604.29.2,+Malimeni[]PN$,{m}ma-li-me-ni,,PN,PN,"['𒁹', '𒈠', '𒇷', '𒈨', '𒉌']",𒁹𒈠𒇷𒈨𒉌,{m}ma-li-me-ni,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Malimeni,Malimeni,1,P522604,29,2,witness
749,P522604.30.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,30,1,witness
750,P522604.30.2,Issar-duri[1]PN,{m}15-BAD₃,,PN,PN,"['𒁹', '𒌋𒐊', '𒂦']",𒁹𒌋𒐊𒂦,{m}15-BAD₃,"['complete', 'complete', 'complete']",0.0,Issar-duri,Issar-duri,1,P522604,30,2,witness
751,P522604.31.1,mār[son]N,DUMU,,,N,['𒌉'],𒌉,DUMU,['complete'],0.0,mār,māru,son,P522604,31,1,witness
752,P522604.31.2,+Samiraya[]PN$,{m}sa-mir-a-a,,PN,PN,"['𒁹', '𒊓', '𒂇', '𒀀', '𒀀']",𒁹𒊓𒂇𒀀𒀀,{m}sa-mir-a-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Samiraya,Samiraya,1,P522604,31,2,witness
753,P522604.32.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,32,1,witness
754,P522604.32.2,Ubru-Issar[1]PN,{m}SUHUŠ-15,,PN,PN,"['𒁹', '𒁼', '𒌋𒐊']",𒁹𒁼𒌋𒐊,{m}SUHUŠ-15,"['complete', 'complete', 'complete']",0.0,Ubru-Issar,Ubru-Issar,1,P522604,32,2,witness
755,P522604.33.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,33,1,witness
756,P522604.33.2,Nabuʾa[1]PN,{m}{d}PA-u-a,,PN,PN,"['𒁹', '𒀭', '𒉺', '𒌋', '𒀀']",𒁹𒀭𒉺𒌋𒀀,{m}{d}PA-u-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Nabuʾa,Nabuʾa,1,P522604,33,2,witness
757,P522604.34.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,34,1,witness
758,P522604.34.2,+Adad-ilaya[]PN$,{m}10-DINGIR-a-a,,PN,PN,"['𒁹', '𒌋', '𒀭', '𒀀', '𒀀']",𒁹𒌋𒀭𒀀𒀀,{m}10-DINGIR-a-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Adad-ilaya,Adad-ilaya,1,P522604,34,2,witness
759,P522604.35.1,šību[witness]N,IGI,,,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,P522604,35,1,witness
760,P522604.35.2,+Zabinu[]PN$Zabini,{m}za-bi-ni,,PN,PN,"['𒁹', '𒍝', '𒁉', '𒉌']",𒁹𒍝𒁉𒉌,{m}za-bi-ni,"['complete', 'complete', 'complete', 'complete']",0.0,Zabini,Zabinu,1,P522604,35,2,witness
761,P522604.36.1,Ayyaru[1]MN,{iti}GU₄,,MN,MN,"['𒌗', '𒄞']",𒌗𒄞,{ITI}GU₄,"['complete', 'complete']",0.0,Ayyaru,Ayyaru,1,P522604,36,1,date
762,P522604.36.2,u,UD-21-KAM,,,u,"['𒌓', '𒌋𒌋𒁹', '𒄰']",𒌓𒌋𒌋𒁹𒄰,UD-21-KAM,"['complete', 'complete', 'complete']",0.0,,,,P522604,36,2,date
763,P522604.37.1,limmu[eponym (of year)]N,lim-mu,,,N,"['𒅆', '𒈬']",𒅆𒈬,lim-mu,"['complete', 'complete']",0.0,limmu,līmu,eponym (of year),P522604,37,1,date
764,P522604.37.2,+Šamaš-daʾʾinanni[]PN$,{m}{d}ša₂-maš-⸢da⸣-[in]-an-ni,,PN,PN,"['𒁹', '𒀭', '𒃻', '𒈦', '𒁕', '𒅔', '𒀭', '𒉌']",𒁹𒀭𒃻𒈦𒁕𒅔𒀭𒉌,{m}{d}ša₂-maš-⸢da⸣-[in]-an-ni,"['complete', 'complete', 'complete', 'complete', 'damaged', 'missing', 'complete', 'complete']",0.19,Šamaš-daʾʾinanni,Šamaš-daʾʾinanni,1,P522604,37,2,date
