Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
6559,P514292.36.7,ahu[brother]N$ahhēšu,ŠEŠ.MEŠ-šu₂],ahhēšu,ahu,brother,N,"['𒋀', '𒈨𒌍', '𒋙']",𒋀𒈨𒌍𒋙,[ŠEŠ].[MEŠ-šu₂],"['missing', 'missing', 'missing']",1.0,,P514292,36,7,penalties for litigation: contravention
6560,P514292.37.1,lū[may]MOD,[lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,,P514292,37,1,penalties for litigation: contravention
6561,P514292.37.2,mār[son]N,DUMU],mār,māru,son,N,['𒌉'],𒌉,[DUMU],['missing'],1.0,,P514292,37,2,penalties for litigation: contravention
6562,P514292.37.3,ahu[brother]N$ahhēšu,ŠEŠ.⸢MEŠ⸣-šu₂,ahhēšu,ahu,brother,N,"['𒋀', '𒈨𒌍', '𒋙']",𒋀𒈨𒌍𒋙,ŠEŠ.⸢MEŠ⸣-šu₂,"['complete', 'damaged', 'complete']",0.17,,P514292,37,3,penalties for litigation: contravention
6563,P514292.37.4,issi[with]PRP,⸢TA⸣,issi,išti,with,PRP,['𒋫'],𒋫,⸢TA⸣,['damaged'],0.5,,P514292,37,4,penalties for litigation: contravention
6564,P514292.37.5,Sagibi[]PN$,{m}⸢sa⸣-[gi-bi-i],Sagibi,Sagibi,1,PN,"['𒁹', '𒊓', '𒄀', '𒁉', '𒄿']",𒁹𒊓𒄀𒁉𒄿,{m}⸢sa⸣-[gi-bi-i],"['complete', 'damaged', 'missing', 'missing', 'missing']",0.7,PN,P514292,37,5,penalties for litigation: contravention
6565,P514292.38.1,issi[with]PRP,[TA,issi,išti,with,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,,P514292,38,1,penalties for litigation: contravention
6566,P514292.38.2,marʾēšu[son]N,DUMU].MEŠ-šu₂,marʾēšu,māru,son,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,[DUMU].MEŠ-šu₂,"['missing', 'complete', 'complete']",0.33,,P514292,38,2,penalties for litigation: contravention
6567,P514292.38.3,issi[with]PRP,⸢TA,issi,išti,with,PRP,['𒋫'],𒋫,⸢TA⸣,['damaged'],0.5,,P514292,38,3,penalties for litigation: contravention
6568,P514292.38.4,mār[son]N,DUMU⸣,mār,māru,son,N,['𒌉'],𒌉,⸢DUMU⸣,['damaged'],0.5,,P514292,38,4,penalties for litigation: contravention
6569,P514292.38.5,marʾēšu[son]N,DUMU.MEŠ-⸢šu₂⸣,marʾēšu,māru,son,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU.MEŠ-⸢šu₂⸣,"['complete', 'complete', 'damaged']",0.17,,P514292,38,5,penalties for litigation: contravention
6570,P514292.38.6,dēnu[lawsuit]N,[de-e-nu],dēnu,dīnu,lawsuit,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,[de-e-nu],"['missing', 'missing', 'missing']",1.0,,P514292,38,6,penalties for litigation: contravention
6571,P514292.39.1,dabābu[litigation]'N,[da-ba]-bu,dabābu,dabābu,litigation,V,"['𒁕', '𒁀', '𒁍']",𒁕𒁀𒁍,[da-ba]-bu,"['missing', 'missing', 'complete']",0.67,,P514292,39,1,penalties for litigation: contravention
6572,P514292.39.2,ubtaʾʾūni[seek]V,⸢ub-ta⸣-u-ni,ubtaʾʾūni,buʾʾû,seek,V,"['𒌒', '𒋫', '𒌋', '𒉌']",𒌒𒋫𒌋𒉌,⸢ub-ta⸣-u-ni,"['damaged', 'damaged', 'complete', 'complete']",0.25,,P514292,39,2,penalties for litigation: contravention
6573,P514292.39.3,n,10,,,,n,['𒌋'],𒌋,10,['complete'],0.0,NUMBER,P514292,39,3,penalties for litigation: penalty
6574,P514292.39.4,manā[a unit of weight]N,[MA.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,[MA].[NA],"['missing', 'missing']",1.0,,P514292,39,4,penalties for litigation: penalty
6575,P514292.39.5,ṣarpu[silver]N,KU₃.BABBAR],ṣarpu,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,[KU₃].[BABBAR],"['missing', 'missing']",1.0,,P514292,39,5,penalties for litigation: penalty
6576,P514292.40.1,n,10,,,,n,['𒌋'],𒌋,[10],['missing'],1.0,NUMBER,P514292,40,1,penalties for litigation: penalty
6577,P514292.40.2,manā[a unit of weight]N,⸢MA⸣.[NA],manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.[NA],"['damaged', 'missing']",0.75,,P514292,40,2,penalties for litigation: penalty
6578,P514292.40.3,hurāṣu[gold]N,⸢KU₃⸣.GI,hurāṣu,hurāṣu,gold,N,"['𒆬', '𒄀']",𒆬𒄀,⸢KU₃⸣.GI,"['damaged', 'complete']",0.25,,P514292,40,3,penalties for litigation: penalty
6579,P514292.40.4,ana[to]PRP,[a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,P514292,40,4,penalties for litigation: penalty
6580,P514292.40.5,Adad[]DN$,{d}IŠKUR,Adad,Adad,1,DN,"['𒀭', '𒅎']",𒀭𒅎,{[d]}[IŠKUR],"['missing', 'missing']",1.0,DN,P514292,40,5,penalties for litigation: penalty
6581,P514292.40.6,iddan[give]V,SUM-an],iddan,tadānu,give,V,"['𒋧', '𒀭']",𒋧𒀭,[SUM-an],"['missing', 'missing']",1.0,,P514292,40,6,penalties for litigation: penalty
6582,P514292.41.1,kaspu[money]N,⸢kas⸣-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,⸢kas⸣-pu,"['damaged', 'complete']",0.25,,P514292,41,1,penalties for litigation: penalty
6583,P514292.41.2,ana[to]PRP,a-[na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-[na],"['complete', 'missing']",0.5,,P514292,41,2,penalties for litigation: penalty
6584,P514292.41.3,ešriātu[tenfold]AV$ešrāte,10.MEŠ,ešrāte,ešriātu,tenfold,AV,"['𒌋', '𒈨𒌍']",𒌋𒈨𒌍,[10].[MEŠ],"['missing', 'missing']",1.0,,P514292,41,3,penalties for litigation: penalty
6585,P514292.41.4,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,P514292,41,4,penalties for litigation: penalty
6586,P514292.41.5,bēlīšu[lord]N,EN-šu₂,bēlīšu,bēlu,lord,N,"['𒂗', '𒋙']",𒂗𒋙,[EN-šu₂],"['missing', 'missing']",1.0,,P514292,41,5,penalties for litigation: penalty
6587,P514292.41.6,utâra[return]V,GUR-ra],utâra,târu,return,V,"['𒄥', '𒊏']",𒄥𒊏,[GUR-ra],"['missing', 'missing']",1.0,,P514292,41,6,penalties for litigation: penalty
6588,P514292.42.1,adê[treaty]N,[a]-de-e,adê,adû,treaty,N,"['𒀀', '𒁲', '𒂊']",𒀀𒁲𒂊,[a]-de-e,"['missing', 'complete', 'complete']",0.33,,P514292,42,1,penalties for litigation: penalty
6589,P514292.42.2,ša[of]DET,⸢ša₂⸣,ša,ša,of,DET,['𒃻'],𒃻,⸢ša₂⸣,['damaged'],0.5,,P514292,42,2,penalties for litigation: penalty
6590,P514292.42.3,šarri[king]N,[LUGAL,šarri,šarru,king,N,['𒈗'],𒈗,[LUGAL],['missing'],1.0,,P514292,42,3,penalties for litigation: penalty
6591,P514292.42.4,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,P514292,42,4,penalties for litigation: penalty
6592,P514292.42.5,qātu[hand]N$qātēšu,ŠU.2-šu₂,qātēšu,qātu,hand,N,"['𒋗', '𒈫', '𒋙']",𒋗𒈫𒋙,[ŠU].[2-šu₂],"['missing', 'missing', 'missing']",1.0,,P514292,42,5,penalties for litigation: penalty
