Unnamed: 0,ref,inst,frag,lang,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
409,P522612.22.2,u,...],,,u,['x'],x,[x],['missing'],1.0,,,,P522612,22,2,witness
410,P522612.22.3,u,x,,,u,['X'],X,x,['complete'],0.0,,,,P522612,22,3,witness
411,P522612.22.4,Kalha[1]GN,{uru}⸢kal⸣-[ha,,GN,GN,"['𒌷', '𒆗', '𒄩']",𒌷𒆗𒄩,{URU}⸢kal⸣-[ha],"['complete', 'damaged', 'missing']",0.5,Kalha,Kalhu,1,P522612,22,4,witness
412,P522612.22.5,u,(x,,,u,['X'],X,[x],['missing'],1.0,,,,P522612,22,5,witness
413,P522612.22.6,u,x)],,,u,['X'],X,[x],['missing'],1.0,,,,P522612,22,6,witness
414,P522612.23.1,šību[witness]N,[IGI,,,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,P522612,23,1,witness
415,P522612.23.2,u,...],,,u,['x'],x,[x],['missing'],1.0,,,,P522612,23,2,witness
416,P522612.23.3,u,ab-di-[...],,,u,"['𒀊', '𒁲', 'x']",𒀊𒁲x,ab-di-[x],"['complete', 'complete', 'missing']",0.33,,,,P522612,23,3,witness
417,P522612.24.1,šību[witness]N,[IGI,,,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,P522612,24,1,witness
418,P522612.24.2,u,...],,,u,['x'],x,[x],['missing'],1.0,,,,P522612,24,2,witness
419,P522612.24.3,u,⸢x⸣,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,P522612,24,3,witness
420,P522612.24.4,urdu[servant]N,ARAD,,,N,['𒀴'],𒀴,ARAD,['complete'],0.0,urdu,ardu,servant,P522612,24,4,witness
421,P522612.24.5,u,⸢x⸣,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,P522612,24,5,witness
422,P522612.24.6,u,[...],,,u,['x'],x,[x],['missing'],1.0,,,,P522612,24,6,witness
423,P522612.25.1,u,[...],,,u,['x'],x,[x],['missing'],1.0,,,,P522612,25,1,none
424,P522612.25.2,u,x,,,u,['X'],X,x,['complete'],0.0,,,,P522612,25,2,none
425,P522612.25.3,ūm[day]N,UD,,,N,['𒌓'],𒌓,UD,['complete'],0.0,ūm,ūmu,day,P522612,25,3,none
426,P522612.25.4,u,[...],,,u,['x'],x,[x],['missing'],1.0,,,,P522612,25,4,none
